Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
11-07-2016,HDFC,EQ,1286.9,1300,1322,1298.05,1322,1314.1,1310.68,1873706,2.45583E+14,87539,1330112,0.7099
12-07-2016,HDFC,EQ,1314.1,1320.5,1337.8,1319.1,1332.45,1333.75,1327.68,1743750,2.31514E+14,53245,1203574,0.6902
13-07-2016,HDFC,EQ,1333.75,1333,1337.75,1316.15,1325.8,1330.45,1328.11,3059127,4.06286E+14,108519,2325277,0.7601
14-07-2016,HDFC,EQ,1330.45,1328.4,1340.2,1318.05,1337.65,1336.95,1326.82,1416877,1.87994E+14,54450,987611,0.697
15-07-2016,HDFC,EQ,1336.95,1325.05,1370,1320,1359.85,1364.1,1348.4,2180001,2.93951E+14,76115,1333287,0.6116
18-07-2016,HDFC,EQ,1364.1,1364,1386.4,1338,1344.55,1346.35,1356.83,2760273,3.74521E+14,90095,1858300,0.6732
19-07-2016,HDFC,EQ,1346.35,1346.35,1355.95,1331.25,1339.1,1338.55,1338.78,2534832,3.39359E+14,91579,1857622,0.7328
20-07-2016,HDFC,EQ,1338.55,1339.9,1345.8,1325.3,1338,1334.45,1332.83,2673186,3.5629E+14,68221,2089307,0.7816
21-07-2016,HDFC,EQ,1334.45,1335.95,1345,1328.15,1328.15,1332.9,1336.97,1524359,2.03803E+14,58763,1043193,0.6843
22-07-2016,HDFC,EQ,1332.9,1333.95,1361.15,1326.7,1361.1,1357,1343.6,1523892,2.0475E+14,58991,1038237,0.6813
25-07-2016,HDFC,EQ,1357,1355.5,1387,1350.4,1382,1382,1373.17,2693450,3.69857E+14,61386,1884547,0.6997
26-07-2016,HDFC,EQ,1382,1383.7,1385,1362.2,1368.8,1367.45,1374,2852587,3.91945E+14,89512,2385284,0.8362
27-07-2016,HDFC,EQ,1367.45,1376.9,1398.1,1368.55,1386.25,1387.7,1383.22,3451819,4.77462E+14,127074,1868719,0.5414
28-07-2016,HDFC,EQ,1387.7,1390.3,1410,1374,1406.7,1402.15,1390.07,5473387,7.60841E+14,91935,4280250,0.782
29-07-2016,HDFC,EQ,1402.15,1407.95,1407.95,1373,1375,1374.5,1378.45,3347082,4.6138E+14,104810,2659310,0.7945
01-08-2016,HDFC,EQ,1374.5,1385,1397.45,1368,1376.55,1374.3,1382.3,3040038,4.20225E+14,85726,2302799,0.7575
02-08-2016,HDFC,EQ,1374.3,1371.8,1373.35,1334.05,1338,1342.15,1349.3,3509100,4.73483E+14,143827,2751396,0.7841
03-08-2016,HDFC,EQ,1342.15,1342.15,1342.15,1316.4,1325.95,1325.45,1324.09,3806460,5.04011E+14,96941,2993982,0.7866
04-08-2016,HDFC,EQ,1325.45,1331.3,1333.7,1313.1,1320.55,1320.15,1319.53,2223224,2.93362E+14,92437,1631016,0.7336
05-08-2016,HDFC,EQ,1320.15,1330,1350,1322.55,1347.9,1342.1,1335.6,2210679,2.95259E+14,78058,1740912,0.7875
08-08-2016,HDFC,EQ,1342.1,1350,1370.6,1345.6,1363.35,1367.45,1358.23,2196658,2.98357E+14,63854,1581696,0.72
09-08-2016,HDFC,EQ,1367.45,1375,1376,1331.5,1342.05,1343,1347.21,3160963,4.25848E+14,119581,2261134,0.7153
10-08-2016,HDFC,EQ,1343,1343.35,1349,1325.35,1337,1337.15,1333.98,2397117,3.19771E+14,59048,1925059,0.8031
11-08-2016,HDFC,EQ,1337.15,1339,1353.1,1331,1348.05,1348.45,1340.57,2774737,3.71974E+14,78202,2179605,0.7855
